farm_id,date,sR,mR,dR,pF,lF,label
0,2023-01-02,1.0,0.0,0.0,0.64,0.0,0
0,2023-01-03,1.0,0.0,0.0,0.64,0.0010416666666666667,0
0,2023-01-04,1.0,0.0,0.0,0.64,0.0020833333333333333,0
0,2023-01-05,1.0,0.0,0.0,0.64,0.0020833333333333333,0
0,2023-01-06,1.0,0.0,0.0,0.64,0.0031249999999999997,0
0,2023-01-07,1.0,0.0,0.0,0.64,0.0031249999999999997,0
0,2023-01-08,1.0,0.0,0.0,0.64,0.004166666666666667,0
0,2023-01-09,1.0,0.0,0.0,0.64,0.004166666666666667,0
0,2023-01-10,1.0,0.0,0.0,0.64,0.004166666666666667,0
0,2023-01-11,1.0,0.0,0.0,0.64,0.004166666666666667,0
0,2023-01-12,1.0,0.0,0.0,0.64,0.004166666666666667,0
0,2023-01-13,1.0,0.0,0.0,0.64,0.004166666666666667,0
0,2023-01-14,1.0,0.0,0.0,0.64,0.005208333333333333,0
0,2023-01-15,0.940625,0.059375,0.0,0.64,0.005208333333333333,0
0,2023-01-16,0.8625,0.1375,0.0,0.64,0.005208333333333333,0
0,2023-01-17,0.925,0.075,0.0,0.64,0.0062499999999999995,0
0,2023-01-18,0.925,0.075,0.0,0.64,0.0062499999999999995,0
0,2023-01-19,0.925,0.075,0.0,0.64,0.0062499999999999995,0
0,2023-01-20,0.925,0.075,0.0,0.64,0.007291666666666666,0
0,2023-01-21,0.98125,0.01875,0.0,0.64,0.008333333333333333,0
0,2023-01-22,0.98125,0.01875,0.0,0.64,0.008333333333333333,0
0,2023-01-23,0.99375,0.00625,0.0,0.64,0.009375,0
0,2023-01-24,0.99375,0.00625,0.0,0.64,0.010416666666666666,0
0,2023-01-25,0.99375,0.00625,0.0,0.64,0.010416666666666666,0
0,2023-01-26,0.99375,0.00625,0.0,0.64,0.010416666666666666,0
0,2023-01-27,0.99375,0.00625,0.0,0.64,0.010416666666666666,0
0,2023-01-28,0.996875,0.003125,0.0,0.64,0.011458333333333334,0
0,2023-01-29,0.996875,0.003125,0.0,0.64,0.012499999999999999,0
0,2023-01-30,0.996875,0.003125,0.0,0.64,0.012499999999999999,0
0,2023-01-31,0.996875,0.003125,0.0,0.64,0.012499999999999999,0
0,2023-02-01,0.996875,0.003125,0.0,0.64,0.013541666666666667,0
0,2023-02-02,0.996875,0.003125,0.0,0.64,0.013541666666666667,0
0,2023-02-03,0.996875,0.003125,0.0,0.64,0.013541666666666667,0
0,2023-02-04,0.996875,0.003125,0.0,0.64,0.013541666666666667,0
0,2023-02-05,0.95,0.05,0.0,0.64,0.013541666666666667,0
0,2023-02-06,0.971875,0.028125,0.0,0.64,0.015625,0
0,2023-02-07,0.971875,0.028125,0.0,0.64,0.015625,0
0,2023-02-08,0.971875,0.028125,0.0,0.64,0.016666666666666666,0
0,2023-02-09,0.971875,0.028125,0.0,0.64,0.016666666666666666,0
0,2023-02-10,0.971875,0.028125,0.0,0.64,0.016666666666666666,0
0,2023-02-11,0.971875,0.028125,0.0,0.64,0.016666666666666666,0
0,2023-02-12,0.971875,0.028125,0.0,0.64,0.016666666666666666,0
0,2023-02-13,0.971875,0.028125,0.0,0.64,0.016666666666666666,0
0,2023-02-14,0.971875,0.028125,0.0,0.64,0.016666666666666666,0
0,2023-02-15,0.971875,0.028125,0.0,0.64,0.017708333333333333,0
0,2023-02-16,0.971875,0.028125,0.0,0.64,0.01875,0
0,2023-02-17,0.971875,0.028125,0.0,0.64,0.01875,0
0,2023-02-18,0.971875,0.028125,0.0,0.64,0.019791666666666666,0
0,2023-02-19,0.971875,0.028125,0.0,0.64,0.019791666666666666,0
0,2023-02-20,0.971875,0.028125,0.0,0.64,0.019791666666666666,0
0,2023-02-21,0.971875,0.028125,0.0,0.64,0.020833333333333332,0
0,2023-02-22,0.975,0.025,0.0,0.64,0.021875000000000002,0
0,2023-02-23,0.975,0.025,0.0,0.64,0.021875000000000002,0
0,2023-02-24,0.975,0.025,0.0,0.64,0.021875000000000002,0
0,2023-02-25,0.975,0.025,0.0,0.64,0.02291666666666667,0
0,2023-02-26,0.975,0.025,0.0,0.64,0.02291666666666667,0
0,2023-02-27,0.975,0.025,0.0,0.64,0.02291666666666667,0
0,2023-02-28,0.975,0.025,0.0,0.64,0.02395833333333333,0
0,2023-03-01,0.975,0.025,0.0,0.64,0.02395833333333333,0
0,2023-03-02,0.975,0.025,0.0,0.64,0.02395833333333333,0
0,2023-03-03,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-04,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-05,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-06,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-07,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-08,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-09,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-10,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-11,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-12,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-13,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-14,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-15,0.975,0.025,0.0,0.64,0.024999999999999998,0
0,2023-03-16,0.93125,0.06875,0.0,0.64,0.026041666666666668,0
0,2023-03-17,0.93125,0.06875,0.0,0.64,0.026041666666666668,0
0,2023-03-18,0.990625,0.009375,0.0,0.64,0.027083333333333334,0
0,2023-03-19,0.990625,0.009375,0.0,0.64,0.027083333333333334,0
0,2023-03-20,0.990625,0.009375,0.0,0.64,0.027083333333333334,0
0,2023-03-21,0.990625,0.009375,0.0,0.64,0.027083333333333334,0
0,2023-03-22,0.990625,0.009375,0.0,0.64,0.027083333333333334,0
0,2023-03-23,0.990625,0.009375,0.0,0.64,0.027083333333333334,0
0,2023-03-24,0.990625,0.009375,0.0,0.64,0.028125,0
0,2023-03-25,0.990625,0.009375,0.0,0.64,0.028125,0
0,2023-03-26,0.990625,0.009375,0.0,0.64,0.028125,0
0,2023-03-27,0.99375,0.00625,0.0,0.64,0.029166666666666664,0
0,2023-03-28,0.99375,0.00625,0.0,0.64,0.029166666666666664,0
0,2023-03-29,0.99375,0.00625,0.0,0.64,0.030208333333333334,0
0,2023-03-30,1.0,0.0,0.0,0.64,0.03125,0
0,2023-03-31,1.0,0.0,0.0,0.64,0.03125,0
0,2023-04-01,1.0,0.0,0.0,0.64,0.03125,0
0,2023-04-02,1.0,0.0,0.0,0.64,0.03125,0
0,2023-04-03,1.0,0.0,0.0,0.64,0.03229166666666667,0
0,2023-04-04,1.0,0.0,0.0,0.64,0.03229166666666667,0
0,2023-04-05,1.0,0.0,0.0,0.64,0.03229166666666667,0
0,2023-04-06,1.0,0.0,0.0,0.64,0.03229166666666667,0
0,2023-04-07,1.0,0.0,0.0,0.64,0.03333333333333333,0
0,2023-04-08,1.0,0.0,0.0,0.64,0.034374999999999996,0
0,2023-04-09,1.0,0.0,0.0,0.64,0.034374999999999996,0
0,2023-04-10,0.996875,0.003125,0.0,0.64,0.035416666666666666,0
0,2023-04-11,0.996875,0.003125,0.0,0.64,0.035416666666666666,0
0,2023-04-12,0.996875,0.003125,0.0,0.64,0.035416666666666666,0
0,2023-04-13,0.95,0.05,0.0,0.64,0.035416666666666666,0
0,2023-04-14,0.95,0.05,0.0,0.64,0.036458333333333336,0
0,2023-04-15,0.990625,0.009375,0.0,0.64,0.0375,0
0,2023-04-16,0.990625,0.009375,0.0,0.64,0.03854166666666667,0
0,2023-04-17,0.990625,0.009375,0.0,0.64,0.03958333333333333,0
0,2023-04-18,0.915625,0.084375,0.0,0.64,0.03958333333333333,0
0,2023-04-19,0.98125,0.01875,0.0,0.64,0.040625,0
0,2023-04-20,0.98125,0.01875,0.0,0.64,0.041666666666666664,0
0,2023-04-21,0.98125,0.01875,0.0,0.64,0.04270833333333333,0
0,2023-04-22,0.98125,0.01875,0.0,0.64,0.04270833333333333,0
0,2023-04-23,0.98125,0.01875,0.0,0.64,0.04270833333333333,0
0,2023-04-24,0.98125,0.01875,0.0,0.64,0.04270833333333333,0
0,2023-04-25,0.98125,0.01875,0.0,0.64,0.043750000000000004,0
0,2023-04-26,0.984375,0.015625,0.0,0.64,0.04583333333333334,0
0,2023-04-27,0.984375,0.015625,0.0,0.64,0.04583333333333334,0
0,2023-04-28,0.984375,0.015625,0.0,0.64,0.046875,0
0,2023-04-29,0.984375,0.015625,0.0,0.64,0.046875,0
0,2023-04-30,0.984375,0.015625,0.0,0.64,0.04791666666666666,0
0,2023-05-01,0.925,0.075,0.0,0.64,0.04791666666666666,0
0,2023-05-02,0.925,0.075,0.0,0.64,0.04791666666666666,0
0,2023-05-03,0.9875,0.0125,0.0,0.64,0.049999999999999996,0
0,2023-05-04,0.9875,0.0125,0.0,0.64,0.049999999999999996,0
0,2023-05-05,0.9875,0.0125,0.0,0.64,0.049999999999999996,0
0,2023-05-06,0.9875,0.0125,0.0,0.64,0.049999999999999996,0
0,2023-05-07,0.9875,0.0125,0.0,0.64,0.05104166666666667,0
0,2023-05-08,0.9875,0.0125,0.0,0.64,0.052083333333333336,0
0,2023-05-09,0.9875,0.0125,0.0,0.64,0.053125,0
0,2023-05-10,0.9875,0.0125,0.0,0.64,0.05416666666666667,0
0,2023-05-11,0.9875,0.0125,0.0,0.64,0.05520833333333333,0
